.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR4588263_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588264_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588264_2.pr	1	0.25	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588265_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588265_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588266_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588266_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588267_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588267_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588268_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588268_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588269_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588269_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588270_1.pr	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588270_2.pr	1	0.25	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588271_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588271_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588272_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588272_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588273_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588273_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588274_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588274_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588275_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588275_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588276_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588276_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588277_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588277_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588278_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588278_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588279_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588279_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588280_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588280_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588281_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588281_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588282_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588282_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588283_1.pr	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588283_2.pr	1	0.25	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588284_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588284_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588285_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588285_2.pr	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588286_1.pr	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588286_2.pr	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR4588287_1.pr	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588287_2.pr	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
