Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4588281_2	ERR4588281_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259719.0	0.0	250-301	55.0	13.252014677401345	299.92313808385217	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588282_1	ERR4588282_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161505.0	0.0	250-301	55.0	11.434320918857	299.94540416705365	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588282_2	ERR4588282_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161505.0	0.0	250-301	56.0	12.697439707748986	299.9996811244234	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588283_1	ERR4588283_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	691335.0	0.0	250-301	56.0	10.176542486638171	299.964560596527	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588283_2	ERR4588283_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	691335.0	0.0	250-301	56.0	10.906579299471312	299.98330404217927	300	pass	fail	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588284_1	ERR4588284_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596163.0	0.0	250-301	55.0	7.091684656713013	300.0287899450318	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588284_2	ERR4588284_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596163.0	0.0	250-301	55.0	7.99261275859119	300.0903200970204	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588285_1	ERR4588285_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181280.0	0.0	250-301	55.0	10.060679611650485	300.01297440423656	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588285_2	ERR4588285_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181280.0	0.0	250-301	55.0	11.06409973521624	300.0789717563989	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588286_1	ERR4588286_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71815.0	0.0	250-301	58.0	10.13994290886305	299.41265056046785	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588286_2	ERR4588286_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71815.0	0.0	250-301	58.0	11.226066977650909	299.51936921256004	300	pass	fail	fail	pass	fail	warn	warn	warn	fail	fail	pass
ERR4588287_1	ERR4588287_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60093.0	0.0	250-301	59.0	6.6180753165926145	299.9411994741484	300	pass	fail	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588287_2	ERR4588287_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60093.0	0.0	250-301	58.0	7.589902318073652	299.87969480638344	300	pass	fail	fail	pass	fail	pass	warn	warn	fail	fail	pass
