Sample	0	1	2	3	4	5	6	7	8	9	10	11
ERR4588273_2	(26.0, 1.0)	(27.0, 681.0)	(28.0, 13665.0)	(29.0, 28544.0)	(30.0, 34655.0)	(31.0, 37418.0)	(32.0, 32046.0)	(33.0, 20047.0)	(34.0, 8074.0)	(35.0, 1866.0)	(36.0, 235.0)	(37.0, 10.0)
ERR4588274_1	(27.0, 2.0)	(28.0, 106.0)	(29.0, 660.0)	(30.0, 1406.0)	(31.0, 3024.0)	(32.0, 6982.0)	(33.0, 15890.0)	(34.0, 34764.0)	(35.0, 67317.0)	(36.0, 101545.0)	(37.0, 40184.0)	
ERR4588274_2	(27.0, 830.0)	(28.0, 18413.0)	(29.0, 39738.0)	(30.0, 50771.0)	(31.0, 57585.0)	(32.0, 53133.0)	(33.0, 34938.0)	(34.0, 13626.0)	(35.0, 2581.0)	(36.0, 249.0)	(37.0, 16.0)	
ERR4588275_1	(27.0, 3.0)	(28.0, 126.0)	(29.0, 710.0)	(30.0, 1457.0)	(31.0, 2959.0)	(32.0, 6634.0)	(33.0, 15019.0)	(34.0, 31771.0)	(35.0, 61392.0)	(36.0, 88829.0)	(37.0, 31864.0)	
ERR4588275_2	(27.0, 817.0)	(28.0, 17356.0)	(29.0, 36590.0)	(30.0, 45997.0)	(31.0, 51298.0)	(32.0, 45852.0)	(33.0, 29089.0)	(34.0, 11360.0)	(35.0, 2220.0)	(36.0, 177.0)	(37.0, 8.0)	
ERR4588276_1	(27.0, 4.0)	(28.0, 97.0)	(29.0, 451.0)	(30.0, 952.0)	(31.0, 2199.0)	(32.0, 5523.0)	(33.0, 13434.0)	(34.0, 31562.0)	(35.0, 64172.0)	(36.0, 92751.0)	(37.0, 30713.0)	
ERR4588276_2	(27.0, 994.0)	(28.0, 20351.0)	(29.0, 41958.0)	(30.0, 50741.0)	(31.0, 52820.0)	(32.0, 42020.0)	(33.0, 23605.0)	(34.0, 7878.0)	(35.0, 1349.0)	(36.0, 138.0)	(37.0, 4.0)	
ERR4588277_1	(27.0, 2.0)	(28.0, 34.0)	(29.0, 272.0)	(30.0, 595.0)	(31.0, 1224.0)	(32.0, 2525.0)	(33.0, 5088.0)	(34.0, 10072.0)	(35.0, 19857.0)	(36.0, 41466.0)	(37.0, 55269.0)	
ERR4588277_2	(27.0, 123.0)	(28.0, 4210.0)	(29.0, 10421.0)	(30.0, 13476.0)	(31.0, 17466.0)	(32.0, 22285.0)	(33.0, 26970.0)	(34.0, 25352.0)	(35.0, 13843.0)	(36.0, 2143.0)	(37.0, 115.0)	
ERR4588278_1	(27.0, 3.0)	(28.0, 82.0)	(29.0, 708.0)	(30.0, 1586.0)	(31.0, 2936.0)	(32.0, 5753.0)	(33.0, 10923.0)	(34.0, 19668.0)	(35.0, 36515.0)	(36.0, 74556.0)	(37.0, 119220.0)	
ERR4588278_2	(27.0, 151.0)	(28.0, 6107.0)	(29.0, 16814.0)	(30.0, 22381.0)	(31.0, 29471.0)	(32.0, 39132.0)	(33.0, 51718.0)	(34.0, 56246.0)	(35.0, 40057.0)	(36.0, 9352.0)	(37.0, 521.0)	
ERR4588279_1	(28.0, 36.0)	(29.0, 241.0)	(30.0, 526.0)	(31.0, 1111.0)	(32.0, 2312.0)	(33.0, 4878.0)	(34.0, 10033.0)	(35.0, 20333.0)	(36.0, 45346.0)	(37.0, 74309.0)		
ERR4588279_2	(27.0, 102.0)	(28.0, 4247.0)	(29.0, 11514.0)	(30.0, 14654.0)	(31.0, 18666.0)	(32.0, 24947.0)	(33.0, 31390.0)	(34.0, 30961.0)	(35.0, 19025.0)	(36.0, 3467.0)	(37.0, 152.0)	
