Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588264_1	(1.0, 7.571552077171588)	(2.0, 2.387561021587504)	(3.0, 1.323136525848452)	(4.0, 0.9529443119105039)	(5.0, 0.7540350626304123)	(6.0, 0.6259791080285233)	(7.0, 0.5733266596896756)	(8.0, 0.514823939313178)	(9.0, 0.39781849856018303)	('>10', 7.433095638947211)	('>50', 4.212845897334226)	('>100', 11.697293924167473)	('>500', 12.048960276652865)	('>1k', 31.843355716040794)	('>5k', 13.781940860250003)	('>10k+', 3.8813304818674066)
ERR4588264_2	(1.0, 7.840989606016679)	(2.0, 2.32125793849414)	(3.0, 1.3358121152633597)	(4.0, 0.9490441305520706)	(5.0, 0.7702858182905505)	(6.0, 0.6493801961791223)	(7.0, 0.5687764481048369)	(8.0, 0.5408251483693992)	(9.0, 0.4592463549555054)	('>10', 7.3606172687029945)	('>50', 4.279473995540792)	('>100', 12.509506692061182)	('>500', 12.177341246367956)	('>1k', 29.48374599418873)	('>5k', 11.795123473241507)	('>10k+', 6.958573573671176)
ERR4588265_1	(1.0, 10.215926282492092)	(2.0, 2.8249209187181954)	(3.0, 1.658643927932884)	(4.0, 1.1030119653417687)	(5.0, 0.8320726172465961)	(6.0, 0.6684087470774309)	(7.0, 0.5391280429101912)	(8.0, 0.5611332691514235)	(9.0, 0.5817631687525787)	('>10', 9.666483289781324)	('>50', 5.074955301884197)	('>100', 18.461009489753817)	('>500', 9.124604593590977)	('>1k', 31.45647091184156)	('>5k', 7.231467473524962)	('>10k+', 0.0)
ERR4588265_2	(1.0, 11.818181818181818)	(2.0, 3.002338055288131)	(3.0, 1.7824233255398156)	(4.0, 1.2487965891899326)	(5.0, 0.9489753816531425)	(6.0, 0.8540778434878283)	(7.0, 0.6017054050336955)	(8.0, 0.6051437216338881)	(9.0, 0.5260624398294594)	('>10', 9.564021455095585)	('>50', 5.948975381653143)	('>100', 18.483702379315087)	('>500', 7.904002200522624)	('>1k', 36.71159400357585)	('>5k', 0.0)	('>10k+', 0.0)
ERR4588266_1	(1.0, 9.317505998073438)	(2.0, 2.6026553067244236)	(3.0, 1.5831324003661666)	(4.0, 1.0649945852803389)	(5.0, 0.8555855376128565)	(6.0, 0.7466928328257657)	(7.0, 0.7036144001627408)	(8.0, 0.5025817144019576)	(9.0, 0.4577083470446401)	('>10', 8.409269042761327)	('>50', 4.645290988829523)	('>100', 17.82609476058563)	('>500', 12.776943465540244)	('>1k', 26.942568072898283)	('>5k', 11.565362546892668)	('>10k+', 0.0)
ERR4588266_2	(1.0, 10.78995075895822)	(2.0, 2.907794204754184)	(3.0, 1.7428815881582176)	(4.0, 1.2014096220465846)	(5.0, 0.8466108641413931)	(6.0, 0.7682320491572782)	(7.0, 0.7454962096962372)	(8.0, 0.5791655946917799)	(9.0, 0.5546348205364461)	('>10', 8.530127978843703)	('>50', 4.395795066322837)	('>100', 19.125627479253545)	('>500', 12.067345949729862)	('>1k', 24.451797028784767)	('>5k', 11.29313078492494)	('>10k+', 0.0)
ERR4588267_1	(1.0, 8.130238417326948)	(2.0, 2.4034986007028696)	(3.0, 1.4536943591505445)	(4.0, 1.0220952953554787)	(5.0, 0.8338522542640985)	(6.0, 0.6613557793476628)	(7.0, 0.6463249661806704)	(8.0, 0.44090385289844186)	(9.0, 0.496016834510747)	('>10', 7.856820768289278)	('>50', 4.751168466785482)	('>100', 21.4811792746559)	('>500', 13.242146400120248)	('>1k', 27.081946561880425)	('>5k', 9.498758168531204)	('>10k+', 0.0)
ERR4588267_2	(1.0, 9.63260398101823)	(2.0, 2.569553298547737)	(3.0, 1.5481737562002102)	(4.0, 1.1566568608504577)	(5.0, 0.8732186697014594)	(6.0, 0.7816022846836014)	(7.0, 0.5611503582343804)	(8.0, 0.6355886710613902)	(9.0, 0.3671812930793842)	('>10', 8.29414585614796)	('>50', 4.490634371890948)	('>100', 21.86482288691818)	('>500', 11.832828727462728)	('>1k', 26.299628524188872)	('>5k', 9.092210460014458)	('>10k+', 0.0)
ERR4588268_1	(1.0, 5.6071556378086775)	(2.0, 1.6897068149525427)	(3.0, 1.1069632767955053)	(4.0, 0.8442777635465807)	(5.0, 0.6787801337604611)	(6.0, 0.557798967870434)	(7.0, 0.5003305155562975)	(8.0, 0.41599867985658795)	(9.0, 0.36610953928338086)	('>10', 6.280850916856869)	('>50', 3.081805718254916)	('>100', 9.300199268740329)	('>500', 5.980268844903296)	('>1k', 17.59858621850868)	('>5k', 7.834513883092474)	('>10k+', 38.15665382021297)
ERR4588268_2	(1.0, 6.195367793297778)	(2.0, 1.7745183539269949)	(3.0, 1.1179005114596317)	(4.0, 0.8577094552393671)	(5.0, 0.6912524189037629)	(6.0, 0.557798967870434)	(7.0, 0.4633933634011346)	(8.0, 0.44746721467968775)	(9.0, 0.38510578896317893)	('>10', 6.436178837218449)	('>50', 2.970610499169634)	('>100', 8.621994778909556)	('>500', 6.084652277487238)	('>1k', 17.801884466344497)	('>5k', 6.177043128202619)	('>10k+', 39.41712214492604)
