.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR33075558_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075559_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075559_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075560_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075560_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR33075561_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075561_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR33075562_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075562_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075563_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075563_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR33075564_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075564_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075565_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075565_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075566_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075566_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR33075567_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075567_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075568_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075568_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075569_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075569_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075570_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075570_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
