Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33022263_1	(27.0, 2.0)	(28.0, 221.0)	(29.0, 1365.0)	(30.0, 2744.0)	(31.0, 5661.0)	(32.0, 12721.0)	(33.0, 27547.0)	(34.0, 58526.0)	(35.0, 122415.0)	(36.0, 218498.0)	(37.0, 79501.0)	
SRR33022263_2	(27.0, 242.0)	(28.0, 19034.0)	(29.0, 60122.0)	(30.0, 74819.0)	(31.0, 86893.0)	(32.0, 97138.0)	(33.0, 97090.0)	(34.0, 68896.0)	(35.0, 23252.0)	(36.0, 1712.0)	(37.0, 3.0)	
SRR33075535_1	(27.0, 11.0)	(28.0, 473.0)	(29.0, 2853.0)	(30.0, 6309.0)	(31.0, 12522.0)	(32.0, 25432.0)	(33.0, 49776.0)	(34.0, 96272.0)	(35.0, 191307.0)	(36.0, 457366.0)	(37.0, 443866.0)	
SRR33075535_2	(26.0, 2.0)	(27.0, 827.0)	(28.0, 34112.0)	(29.0, 101884.0)	(30.0, 131709.0)	(31.0, 166020.0)	(32.0, 215387.0)	(33.0, 260434.0)	(34.0, 236981.0)	(35.0, 117568.0)	(36.0, 20610.0)	(37.0, 653.0)
SRR33075536_1	(27.0, 12.0)	(28.0, 459.0)	(29.0, 2742.0)	(30.0, 6229.0)	(31.0, 12624.0)	(32.0, 25296.0)	(33.0, 48997.0)	(34.0, 94067.0)	(35.0, 183993.0)	(36.0, 384209.0)	(37.0, 256258.0)	
SRR33075536_2	(26.0, 1.0)	(27.0, 847.0)	(28.0, 33970.0)	(29.0, 96840.0)	(30.0, 122380.0)	(31.0, 150745.0)	(32.0, 184904.0)	(33.0, 199332.0)	(34.0, 151464.0)	(35.0, 62780.0)	(36.0, 11181.0)	(37.0, 442.0)
SRR33075537_1	(27.0, 9.0)	(28.0, 358.0)	(29.0, 2246.0)	(30.0, 4791.0)	(31.0, 10016.0)	(32.0, 20416.0)	(33.0, 41023.0)	(34.0, 80884.0)	(35.0, 167199.0)	(36.0, 405984.0)	(37.0, 395460.0)	
SRR33075537_2	(26.0, 2.0)	(27.0, 1117.0)	(28.0, 35854.0)	(29.0, 96898.0)	(30.0, 124340.0)	(31.0, 155577.0)	(32.0, 198363.0)	(33.0, 227896.0)	(34.0, 189986.0)	(35.0, 84307.0)	(36.0, 13601.0)	(37.0, 445.0)
SRR33075538_1	(27.0, 11.0)	(28.0, 447.0)	(29.0, 2509.0)	(30.0, 5539.0)	(31.0, 11396.0)	(32.0, 22817.0)	(33.0, 45833.0)	(34.0, 87613.0)	(35.0, 176881.0)	(36.0, 419950.0)	(37.0, 390657.0)	
SRR33075538_2	(26.0, 2.0)	(27.0, 812.0)	(28.0, 31587.0)	(29.0, 93089.0)	(30.0, 120142.0)	(31.0, 150508.0)	(32.0, 193561.0)	(33.0, 233585.0)	(34.0, 212884.0)	(35.0, 107270.0)	(36.0, 19604.0)	(37.0, 609.0)
