Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR4588263_1	(2.0, 38.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 27.0)	(18.0, 192.0)	(19.0, 435.0)	(20.0, 398.0)	(21.0, 421.0)	(22.0, 584.0)	(23.0, 947.0)	(24.0, 1400.0)	(25.0, 2088.0)	(26.0, 3037.0)	(27.0, 4068.0)	(28.0, 5355.0)	(29.0, 7089.0)	(30.0, 9394.0)	(31.0, 12089.0)	(32.0, 16036.0)	(33.0, 22052.0)	(34.0, 32333.0)	(35.0, 50035.0)	(36.0, 67737.0)	(37.0, 28672.0)
ERR4588263_2	(2.0, 38.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 10.0)	(13.0, 27.0)	(14.0, 89.0)	(15.0, 298.0)	(16.0, 649.0)	(17.0, 1212.0)	(18.0, 1468.0)	(19.0, 2052.0)	(20.0, 2875.0)	(21.0, 3859.0)	(22.0, 4999.0)	(23.0, 6412.0)	(24.0, 8302.0)	(25.0, 10467.0)	(26.0, 13293.0)	(27.0, 16976.0)	(28.0, 21924.0)	(29.0, 27946.0)	(30.0, 34369.0)	(31.0, 36729.0)	(32.0, 32637.0)	(33.0, 21729.0)	(34.0, 10488.0)	(35.0, 2915.0)	(36.0, 974.0)	(37.0, 1692.0)
ERR4588264_1	(2.0, 85.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 6.0)	(17.0, 53.0)	(18.0, 310.0)	(19.0, 777.0)	(20.0, 819.0)	(21.0, 793.0)	(22.0, 1065.0)	(23.0, 1635.0)	(24.0, 2570.0)	(25.0, 3836.0)	(26.0, 5386.0)	(27.0, 7512.0)	(28.0, 9690.0)	(29.0, 12727.0)	(30.0, 16311.0)	(31.0, 21153.0)	(32.0, 28040.0)	(33.0, 38971.0)	(34.0, 58362.0)	(35.0, 90678.0)	(36.0, 121091.0)	(37.0, 51077.0)
ERR4588264_2	(2.0, 87.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 21.0)	(13.0, 48.0)	(14.0, 135.0)	(15.0, 462.0)	(16.0, 1083.0)	(17.0, 2005.0)	(18.0, 2676.0)	(19.0, 3588.0)	(20.0, 5083.0)	(21.0, 6993.0)	(22.0, 9342.0)	(23.0, 12195.0)	(24.0, 15414.0)	(25.0, 19298.0)	(26.0, 24728.0)	(27.0, 31268.0)	(28.0, 39788.0)	(29.0, 51212.0)	(30.0, 62753.0)	(31.0, 67764.0)	(32.0, 57727.0)	(33.0, 33703.0)	(34.0, 12578.0)	(35.0, 3335.0)	(36.0, 3120.0)	(37.0, 6537.0)
ERR4588265_1	(13.0, 5.0)	(14.0, 6.0)	(15.0, 23.0)	(16.0, 45.0)	(17.0, 66.0)	(18.0, 105.0)	(19.0, 228.0)	(20.0, 455.0)	(21.0, 623.0)	(22.0, 967.0)	(23.0, 1510.0)	(24.0, 2443.0)	(25.0, 4847.0)	(26.0, 5435.0)	(27.0, 4241.0)	(28.0, 5297.0)	(29.0, 6698.0)	(30.0, 8650.0)	(31.0, 11022.0)	(32.0, 14508.0)	(33.0, 18808.0)	(34.0, 25995.0)	(35.0, 39517.0)	(36.0, 74314.0)	(37.0, 119368.0)											
ERR4588265_2	(11.0, 1.0)	(12.0, 5.0)	(13.0, 24.0)	(14.0, 79.0)	(15.0, 256.0)	(16.0, 555.0)	(17.0, 1013.0)	(18.0, 1649.0)	(19.0, 2633.0)	(20.0, 3736.0)	(21.0, 4971.0)	(22.0, 6698.0)	(23.0, 8880.0)	(24.0, 11864.0)	(25.0, 14231.0)	(26.0, 15042.0)	(27.0, 17740.0)	(28.0, 21613.0)	(29.0, 26136.0)	(30.0, 33375.0)	(31.0, 43294.0)	(32.0, 47336.0)	(33.0, 37624.0)	(34.0, 27805.0)	(35.0, 15853.0)	(36.0, 2755.0)	(37.0, 8.0)									
ERR4588266_1	(13.0, 1.0)	(14.0, 4.0)	(15.0, 14.0)	(16.0, 30.0)	(17.0, 51.0)	(18.0, 115.0)	(19.0, 233.0)	(20.0, 379.0)	(21.0, 529.0)	(22.0, 711.0)	(23.0, 972.0)	(24.0, 1385.0)	(25.0, 2266.0)	(26.0, 2936.0)	(27.0, 3965.0)	(28.0, 5308.0)	(29.0, 6933.0)	(30.0, 9110.0)	(31.0, 12155.0)	(32.0, 15689.0)	(33.0, 20855.0)	(34.0, 28926.0)	(35.0, 43504.0)	(36.0, 82237.0)	(37.0, 135876.0)											
ERR4588266_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 12.0)	(14.0, 61.0)	(15.0, 175.0)	(16.0, 461.0)	(17.0, 825.0)	(18.0, 1281.0)	(19.0, 2036.0)	(20.0, 3055.0)	(21.0, 4219.0)	(22.0, 5777.0)	(23.0, 7667.0)	(24.0, 9884.0)	(25.0, 12362.0)	(26.0, 15194.0)	(27.0, 18542.0)	(28.0, 23061.0)	(29.0, 28600.0)	(30.0, 36777.0)	(31.0, 48584.0)	(32.0, 53964.0)	(33.0, 43854.0)	(34.0, 33646.0)	(35.0, 20554.0)	(36.0, 3565.0)	(37.0, 26.0)									
ERR4588267_1	(13.0, 4.0)	(14.0, 2.0)	(15.0, 9.0)	(16.0, 21.0)	(17.0, 49.0)	(18.0, 94.0)	(19.0, 168.0)	(20.0, 329.0)	(21.0, 425.0)	(22.0, 539.0)	(23.0, 808.0)	(24.0, 1186.0)	(25.0, 1745.0)	(26.0, 2379.0)	(27.0, 3356.0)	(28.0, 4445.0)	(29.0, 6083.0)	(30.0, 8011.0)	(31.0, 10514.0)	(32.0, 13745.0)	(33.0, 18518.0)	(34.0, 25583.0)	(35.0, 38907.0)	(36.0, 73477.0)	(37.0, 113144.0)											
ERR4588267_2	(12.0, 1.0)	(13.0, 15.0)	(14.0, 64.0)	(15.0, 213.0)	(16.0, 567.0)	(17.0, 990.0)	(18.0, 1651.0)	(19.0, 2480.0)	(20.0, 3481.0)	(21.0, 4839.0)	(22.0, 6358.0)	(23.0, 7809.0)	(24.0, 10129.0)	(25.0, 12167.0)	(26.0, 14282.0)	(27.0, 17446.0)	(28.0, 21022.0)	(29.0, 25748.0)	(30.0, 32813.0)	(31.0, 42214.0)	(32.0, 44052.0)	(33.0, 34287.0)	(34.0, 25734.0)	(35.0, 13371.0)	(36.0, 1802.0)	(37.0, 6.0)										
