Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588264_1	(1.0, 8.932079070170653)	(2.0, 2.5778787052248986)	(3.0, 1.378378549816364)	(4.0, 1.0343653728641897)	(5.0, 0.7812714743935366)	(6.0, 0.6051418023584038)	(7.0, 0.5298690973830049)	(8.0, 0.47362600883397077)	(9.0, 0.4376811778063927)	('>10', 6.89062410798673)	('>50', 3.6407885027286353)	('>100', 9.871296360903019)	('>500', 7.685850634426268)	('>1k', 34.031297375815896)	('>5k', 7.231677122383692)	('>10k+', 13.898174636904347)
ERR4588264_2	(1.0, 11.517358181783582)	(2.0, 2.614246416617507)	(3.0, 1.502071056587736)	(4.0, 1.0478975445451604)	(5.0, 0.8119303008582357)	(6.0, 0.6432010352111336)	(7.0, 0.615713811484162)	(8.0, 0.5243716526376105)	(9.0, 0.4871581805149414)	('>10', 7.209264463037085)	('>50', 3.766595411325159)	('>100', 10.06370692699182)	('>500', 6.968222654969796)	('>1k', 33.42848141546516)	('>5k', 7.005436127092465)	('>10k+', 11.79434482087845)
ERR4588265_1	(1.0, 10.99439126706376)	(2.0, 2.9237258673835957)	(3.0, 1.6913110992653024)	(4.0, 1.2677590562495655)	(5.0, 0.8589820845018195)	(6.0, 0.703988689827798)	(7.0, 0.642860453797483)	(8.0, 0.5724615848147032)	(9.0, 0.3728532690569448)	('>10', 8.226527916193477)	('>50', 4.183373119799754)	('>100', 13.807448953577307)	('>500', 8.132373050270008)	('>1k', 26.139129024034112)	('>5k', 10.156847521264515)	('>10k+', 9.325967042899853)
ERR4588265_2	(1.0, 17.163997496929102)	(2.0, 3.2244420237791735)	(3.0, 1.8816487820705958)	(4.0, 1.3488770945836326)	(5.0, 1.055983034741697)	(6.0, 0.8256657473288989)	(7.0, 0.7402020997983637)	(8.0, 0.6164970913389112)	(9.0, 0.6023014346304494)	('>10', 8.135270123067652)	('>50', 4.122534591049204)	('>100', 14.298502792778178)	('>500', 7.0474192875518575)	('>1k', 23.716886457922914)	('>5k', 15.21977194242937)	('>10k+', 0.0)
ERR4588266_1	(1.0, 9.635901054026895)	(2.0, 2.7323455839907638)	(3.0, 1.5313321788211147)	(4.0, 1.105338550018173)	(5.0, 0.8044170782288927)	(6.0, 0.6814829068052081)	(7.0, 0.5724456417163748)	(8.0, 0.5131165415945096)	(9.0, 0.43775254954781606)	('>10', 7.34852372095012)	('>50', 3.4303978791182943)	('>100', 11.235381523528531)	('>500', 9.192803540504137)	('>1k', 23.826513159301307)	('>5k', 13.491223569153144)	('>10k+', 13.461024522694718)
ERR4588266_2	(1.0, 14.752902315438392)	(2.0, 2.941868171808522)	(3.0, 1.718138669745366)	(4.0, 1.2068928655420863)	(5.0, 0.964765997477177)	(6.0, 0.7857097043165929)	(7.0, 0.6715947234515639)	(8.0, 0.5344963974942809)	(9.0, 0.5507985376178565)	('>10', 7.840527654843607)	('>50', 3.469416116135377)	('>100', 11.10282641694995)	('>500', 9.229416543732496)	('>1k', 21.01025164090394)	('>5k', 13.16250828469416)	('>10k+', 10.057885959848631)
ERR4588267_1	(1.0, 8.35504619198185)	(2.0, 2.2111571640070347)	(3.0, 1.3927137518892505)	(4.0, 1.0360356183605788)	(5.0, 0.7850627895691736)	(6.0, 0.6175415171492948)	(7.0, 0.5430532760917473)	(8.0, 0.5192541285339416)	(9.0, 0.41169434476619654)	('>10', 6.922770220775728)	('>50', 3.3309534185775527)	('>100', 13.557787111988898)	('>500', 9.621037210121747)	('>1k', 23.67304298373313)	('>5k', 14.036242701852316)	('>10k+', 12.986607570601564)
ERR4588267_2	(1.0, 14.68005600526672)	(2.0, 2.653759492614537)	(3.0, 1.610615037970458)	(4.0, 1.1534859569575417)	(5.0, 0.9303303136233121)	(6.0, 0.7473550492827803)	(7.0, 0.6555583372741013)	(8.0, 0.5711795413873357)	(9.0, 0.5034910567748755)	('>10', 7.596255188677787)	('>50', 3.5296917546771507)	('>100', 12.915519207766557)	('>500', 9.685016736673251)	('>1k', 18.899613959281822)	('>5k', 12.518351615405777)	('>10k+', 11.349720746365993)
ERR4588268_1	(1.0, 6.932905132293094)	(2.0, 1.8604818776445127)	(3.0, 1.1772275203976128)	(4.0, 0.8515202156512176)	(5.0, 0.6631754717798275)	(6.0, 0.6137193142770822)	(7.0, 0.4852896390225055)	(8.0, 0.43651338952040186)	(9.0, 0.4203530742703991)	('>10', 6.353296302344812)	('>50', 3.0544124138551174)	('>100', 8.244316567678265)	('>500', 4.596532138466076)	('>1k', 16.889197132257085)	('>5k', 7.476459839655826)	('>10k+', 39.94459997088617)
ERR4588268_2	(1.0, 11.72841303545224)	(2.0, 2.0415232360954354)	(3.0, 1.2091569521718044)	(4.0, 0.875206892071739)	(5.0, 0.7158962556325899)	(6.0, 0.5749807694338402)	(7.0, 0.5311262490272296)	(8.0, 0.44406137302527954)	(9.0, 0.4227176918409147)	('>10', 7.072880157742081)	('>50', 3.1645677337628983)	('>100', 7.441348808886311)	('>500', 4.7585696613952555)	('>1k', 16.321910530530154)	('>5k', 6.250323731501991)	('>10k+', 36.447316921430236)
ERR4588269_1	(1.0, 7.788121324750471)	(2.0, 2.2135489159753727)	(3.0, 1.389179527840225)	(4.0, 1.0397728472612853)	(5.0, 0.7276106150517486)	(6.0, 0.6554254986244512)	(7.0, 0.576521022955251)	(8.0, 0.5083675220730951)	(9.0, 0.3956742685017557)	('>10', 7.285705235148776)	('>50', 3.2636887746384504)	('>100', 12.903665506457305)	('>500', 9.597356796055928)	('>1k', 21.1281612185462)	('>5k', 9.280395021530746)	('>10k+', 21.24680590458894)
ERR4588269_2	(1.0, 14.226803332034258)	(2.0, 2.5364621229719537)	(3.0, 1.5717541175273526)	(4.0, 1.117333451082105)	(5.0, 0.893674779173058)	(6.0, 0.6623368395589796)	(7.0, 0.6235565376485699)	(8.0, 0.5651941030903292)	(9.0, 0.48897737111789025)	('>10', 7.504180401356926)	('>50', 3.172881434026451)	('>100', 12.255535312152634)	('>500', 8.030786184229472)	('>1k', 20.8371169725255)	('>5k', 7.718431970327309)	('>10k+', 17.794975071177213)
ERR4588270_1	(1.0, 9.447564814093937)	(2.0, 2.5567505644470643)	(3.0, 1.5501996418680695)	(4.0, 1.0926360512061928)	(5.0, 0.9209106783374671)	(6.0, 0.7060315200587247)	(7.0, 0.638409093436843)	(8.0, 0.5000500494933879)	(9.0, 0.48447909599492833)	('>10', 7.958759217448367)	('>50', 4.142318514975921)	('>100', 14.202711570330662)	('>500', 7.815728887455372)	('>1k', 22.560976966110932)	('>5k', 8.737751776757015)	('>10k+', 16.684721557985117)
ERR4588270_2	(1.0, 15.536697400762979)	(2.0, 2.817897698835515)	(3.0, 1.7303778180645304)	(4.0, 1.1655970904561177)	(5.0, 0.9431548976209807)	(6.0, 0.771429524752255)	(7.0, 0.6960216213811435)	(8.0, 0.5908064641701237)	(9.0, 0.5004949338790582)	('>10', 8.196105037203456)	('>50', 3.6451602139893895)	('>100', 13.184593653724239)	('>500', 7.3846359177408765)	('>1k', 20.298072538399083)	('>5k', 11.274482543848917)	('>10k+', 11.264472645171336)
ERR4588271_1	(1.0, 7.450448612272241)	(2.0, 2.155577905416752)	(3.0, 1.332023639492325)	(4.0, 0.9707142586296245)	(5.0, 0.7637874468012112)	(6.0, 0.6619491205610497)	(7.0, 0.5978487556403806)	(8.0, 0.48535712931481223)	(9.0, 0.4273959542738692)	('>10', 6.578683649351142)	('>50', 3.307939958722976)	('>100', 10.743943418337038)	('>500', 7.197477876345881)	('>1k', 21.25044463985526)	('>5k', 10.412246600423604)	('>10k+', 25.664161034561833)
ERR4588271_2	(1.0, 11.501952804074978)	(2.0, 2.30400184897954)	(3.0, 1.343399197210641)	(4.0, 0.991659729983984)	(5.0, 0.8612922272439192)	(6.0, 0.6814500766495913)	(7.0, 0.5738336893461583)	(8.0, 0.5084693735678986)	(9.0, 0.46964802579904263)	('>10', 6.841224298913544)	('>50', 3.1075134655907437)	('>100', 9.983406130883916)	('>500', 6.25998746883007)	('>1k', 21.678743416170263)	('>5k', 10.052020606010267)	('>10k+', 22.84139764074544)
ERR4588272_1	(1.0, 8.341072248018605)	(2.0, 2.454363736768012)	(3.0, 1.5134050446834821)	(4.0, 1.0602702009006697)	(5.0, 0.8182249496387209)	(6.0, 0.7504025013416712)	(7.0, 0.5596907545247374)	(8.0, 0.46666822222740745)	(9.0, 0.4410014700049)	('>10', 7.080445823708301)	('>50', 3.2266996445543707)	('>100', 11.033903446344821)	('>500', 7.736736900234112)	('>1k', 21.77333924446415)	('>5k', 11.27221535182895)	('>10k+', 21.471560460757093)
