Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR33022252_1	95.70853211643504	58.0	301.0	301	27.27272727272727	0.5785199999999999
SRR33022252_2	97.12144783239992	57.0	301.0	301	36.36363636363637	0.5785199999999999
SRR33022253_1	96.09395463894276	59.0	301.0	301	27.27272727272727	0.851347
SRR33022253_2	97.27866545603614	57.0	301.0	301	45.45454545454545	0.851347
SRR33022254_1	95.79202848554009	59.0	301.0	301	27.27272727272727	0.531919
SRR33022254_2	97.06947862362503	57.0	301.0	301	45.45454545454545	0.531919
SRR33022255_1	96.03809921310925	59.0	301.0	301	18.181818181818183	0.440849
SRR33022255_2	96.8993918552611	57.0	301.0	301	45.45454545454545	0.440849
SRR33022256_1	96.63087851468015	55.0	301.0	301	18.181818181818183	0.418388
SRR33022256_2	96.8063137566087	51.0	301.0	301	36.36363636363637	0.418388
SRR33022257_1	96.6147737325346	56.0	301.0	301	27.27272727272727	0.49512199999999995
SRR33022257_2	96.82078356445481	52.0	301.0	301	36.36363636363637	0.49512199999999995
SRR33022258_1	96.62631670732826	55.0	301.0	301	27.27272727272727	0.556217
SRR33022258_2	97.2255432681849	51.0	301.0	301	36.36363636363637	0.556217
SRR33022259_1	96.73323694198446	55.0	301.0	301	27.27272727272727	0.46477199999999996
SRR33022259_2	96.81951580559931	51.0	301.0	301	36.36363636363637	0.46477199999999996
SRR33022260_1	96.72583293435511	55.0	301.0	301	18.181818181818183	0.340453
SRR33022260_2	96.50406957788593	51.0	301.0	301	45.45454545454545	0.340453
SRR33022261_1	96.76759792651164	55.0	301.0	301	18.181818181818183	0.353607
SRR33022261_2	96.49299929017242	52.0	301.0	301	45.45454545454545	0.353607
SRR33022262_1	97.44132049354786	58.0	301.0	301	27.27272727272727	0.67187
SRR33022262_2	96.5323648920178	55.0	301.0	301	36.36363636363637	0.67187
SRR33022263_1	97.98780840122494	58.0	301.0	301	36.36363636363637	0.761508
SRR33022263_2	97.12951144308398	56.0	301.0	301	36.36363636363637	0.761508
SRR33075535_1	96.7013667561487	56.0	301.0	301	36.36363636363637	1.647258
SRR33075535_2	25.732356198847413	53.0	301.0	301	27.27272727272727	1.647258
SRR33075536_1	96.15314324158825	56.0	301.0	301	36.36363636363637	1.373407
SRR33075536_2	34.24365593414916	53.0	301.0	301	27.27272727272727	1.373407
SRR33075537_1	96.25993231738957	56.0	301.0	301	36.36363636363637	1.466551
SRR33075537_2	33.00711857052654	53.0	301.0	301	27.27272727272727	1.466551
SRR33075538_1	95.99005639160465	56.0	301.0	301	36.36363636363637	1.4984499999999998
SRR33075538_2	34.4434340319462	53.0	301.0	301	27.27272727272727	1.4984499999999998
SRR33075539_1	94.50938638445729	55.0	301.0	301	36.36363636363637	2.1188849999999997
SRR33075539_2	34.17713354200292	52.0	301.0	301	27.27272727272727	2.1188849999999997
SRR33075540_1	94.44792963239566	55.0	301.0	301	36.36363636363637	1.506375
SRR33075540_2	32.59547544979898	53.0	301.0	301	27.27272727272727	1.506375
SRR33075541_1	92.06028004596251	57.0	301.0	301	36.36363636363637	0.393364
SRR33075541_2	33.55107512142335	55.0	301.0	301	27.27272727272727	0.393364
SRR33075542_1	91.9411656457846	57.0	301.0	301	36.36363636363637	0.456468
SRR33075542_2	39.093497996571955	55.0	301.0	301	27.27272727272727	0.456468
SRR33075543_1	92.30783004171964	57.0	301.0	301	36.36363636363637	0.44679199999999997
SRR33075543_2	25.89040721418023	55.0	301.0	301	27.27272727272727	0.44679199999999997
SRR33075544_1	92.34762270035084	57.0	301.0	301	36.36363636363637	0.397615
SRR33075544_2	39.11705431269677	55.0	301.0	301	27.27272727272727	0.397615
SRR33075545_1	91.73787327279987	57.0	301.0	301	36.36363636363637	0.478303
SRR33075545_2	38.002635586814314	55.0	301.0	301	27.27272727272727	0.478303
SRR33075546_1	91.35959526138143	57.0	301.0	301	36.36363636363637	0.40796699999999997
SRR33075546_2	37.31492058205396	55.0	301.0	301	27.27272727272727	0.40796699999999997
SRR33075547_1	95.33161084525915	55.0	301.0	301	36.36363636363637	1.7768869999999999
SRR33075547_2	26.89500187462535	52.0	301.0	301	27.27272727272727	1.7768869999999999
SRR33075548_1	86.00955888675514	55.0	301.0	301	45.45454545454545	0.5582239999999999
