Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR33022251_1	(1.0, 1.157109404479169)	(2.0, 0.6001265176569818)	(3.0, 0.5073191574367967)	(4.0, 0.42505493529842625)	(5.0, 0.29340443477681843)	(6.0, 0.24804119592479967)	(7.0, 0.15245932568308435)	(8.0, 0.11874902892149246)	(9.0, 0.08240294763944687)	('>10', 0.569745632921226)	('>50', 0.25497747097862516)	('>100', 1.4011275608727498)	('>500', 0.3559696357623244)	('>1k', 9.06057865181009)	('>5k', 24.87958626506559)	('>10k+', 59.893347834772385)
SRR33022251_2	(1.0, 2.787827669633543)	(2.0, 0.37233924488935255)	(3.0, 0.2288970767762413)	(4.0, 0.15592746320999712)	(5.0, 0.11722304840965085)	(6.0, 0.08739706567820123)	(7.0, 0.0786573591103811)	(8.0, 0.08323530064590592)	(9.0, 0.06367500499411803)	('>10', 1.023239295940337)	('>50', 0.6045657336914301)	('>100', 2.5918085366124344)	('>500', 1.6943932701484916)	('>1k', 5.107179322131712)	('>5k', 1.508084922202739)	('>10k+', 83.49554968592547)
SRR33022252_1	(1.0, 3.4790499896287077)	(2.0, 0.8214063472308649)	(3.0, 0.3417340800663763)	(4.0, 0.18460900228168428)	(5.0, 0.125319781511443)	(6.0, 0.10475005185646132)	(7.0, 0.08832883910668603)	(8.0, 0.08297033810412777)	(9.0, 0.0731176104542626)	('>10', 1.151904860678974)	('>50', 1.2504321371776257)	('>100', 7.341146373504806)	('>500', 16.850584249464152)	('>1k', 68.10464633893383)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022252_2	(1.0, 2.3378621309548504)	(2.0, 0.3726751019843739)	(3.0, 0.2509852727649865)	(4.0, 0.1590264813662449)	(5.0, 0.12445550715619166)	(6.0, 0.1420867040033188)	(7.0, 0.10889856876166772)	(8.0, 0.12307266818778954)	(9.0, 0.0731176104542626)	('>10', 2.3734702343912053)	('>50', 0.8926225541035747)	('>100', 2.4384636659061054)	('>500', 2.7815805849408837)	('>1k', 5.297137523335407)	('>5k', 3.7754960934799144)	('>10k+', 78.74904929820923)
SRR33022253_1	(1.0, 3.1971687220369605)	(2.0, 0.5995205245334746)	(3.0, 0.21918207264487924)	(4.0, 0.13860388302302115)	(5.0, 0.10747673980174945)	(6.0, 0.06977178518277506)	(7.0, 0.05673362330518578)	(8.0, 0.0592003025793243)	(9.0, 0.05391456127759891)	('>10', 1.8745587874274532)	('>50', 1.7364247480756965)	('>100', 16.790333436307407)	('>500', 47.76665683910321)	('>1k', 27.330453974701268)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022253_2	(1.0, 2.3312468358965264)	(2.0, 0.28190620275868716)	(3.0, 0.17196278368279916)	(4.0, 0.12074982351497097)	(5.0, 0.09161951589657331)	(6.0, 0.07822897126553567)	(7.0, 0.0789337367724324)	(8.0, 0.065778113977027)	(9.0, 0.04862881997587353)	('>10', 1.8409649649320432)	('>50', 0.8519440369203157)	('>100', 2.146010968500506)	('>500', 1.6125034797796902)	('>1k', 2.0340707138217438)	('>5k', 0.7183909733633876)	('>10k+', 87.52706005894188)
SRR33022254_1	(1.0, 3.376641932324283)	(2.0, 0.812153730173203)	(3.0, 0.341217365801936)	(4.0, 0.20905438610013932)	(5.0, 0.1522788244074756)	(6.0, 0.119567076942166)	(7.0, 0.09475126852020703)	(8.0, 0.07369543107127213)	(9.0, 0.06260351670085107)	('>10', 1.2710581874307931)	('>50', 1.4474008260656228)	('>100', 7.1674446673271675)	('>500', 16.387457488828186)	('>1k', 68.4846752983067)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022254_2	(1.0, 2.3962295011082513)	(2.0, 0.366973166967151)	(3.0, 0.21995830192190918)	(4.0, 0.1661907170076647)	(5.0, 0.12501903485305094)	(6.0, 0.1274630159855166)	(7.0, 0.11317512628802506)	(8.0, 0.08271936140652994)	(9.0, 0.08798332076876367)	('>10', 2.606411878500298)	('>50', 1.0260960785382738)	('>100', 3.097652086125895)	('>500', 1.6218634792139406)	('>1k', 2.365397739129454)	('>5k', 2.9115335229612027)	('>10k+', 82.68533366922406)
SRR33022255_1	(1.0, 3.0790588160571986)	(2.0, 0.874675909438379)	(3.0, 0.3804023599917432)	(4.0, 0.24679652216518583)	(5.0, 0.1712604542598486)	(6.0, 0.12521294139263103)	(7.0, 0.11273701426111889)	(8.0, 0.08347529426175403)	(9.0, 0.0694115218589585)	('>10', 1.2723177323754846)	('>50', 1.250541568655027)	('>100', 7.059560076125838)	('>500', 19.69018870406874)	('>1k', 65.58436108508809)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022255_2	(1.0, 2.5704946591690128)	(2.0, 0.3407062282096591)	(3.0, 0.2211641627858972)	(4.0, 0.1497111255781458)	(5.0, 0.11908839534625233)	(6.0, 0.11296384929987366)	(7.0, 0.10638563317598544)	(8.0, 0.13247166263278357)	(9.0, 0.09799273674205908)	('>10', 2.5986222039746036)	('>50', 1.0325530964116965)	('>100', 3.1294161946607573)	('>500', 1.6327586089568085)	('>1k', 2.1655941149917544)	('>5k', 0.0)	('>10k+', 85.59007732806471)
