Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33022250_1	(13.0, 3.0)	(14.0, 63.0)	(15.0, 534.0)	(16.0, 1083.0)	(17.0, 767.0)	(18.0, 621.0)	(19.0, 773.0)	(20.0, 987.0)	(21.0, 1376.0)	(22.0, 1806.0)	(23.0, 2362.0)	(24.0, 3204.0)	(25.0, 3929.0)	(26.0, 5048.0)	(27.0, 6256.0)	(28.0, 7972.0)	(29.0, 9826.0)	(30.0, 12513.0)	(31.0, 16423.0)	(32.0, 21523.0)	(33.0, 29546.0)	(34.0, 43852.0)	(35.0, 73451.0)	(36.0, 128013.0)	(37.0, 66870.0)											
SRR33022250_2	(10.0, 1.0)	(11.0, 14.0)	(12.0, 23.0)	(13.0, 66.0)	(14.0, 256.0)	(15.0, 412.0)	(16.0, 565.0)	(17.0, 926.0)	(18.0, 1383.0)	(19.0, 2131.0)	(20.0, 3219.0)	(21.0, 4494.0)	(22.0, 6159.0)	(23.0, 8068.0)	(24.0, 10455.0)	(25.0, 13430.0)	(26.0, 16804.0)	(27.0, 21360.0)	(28.0, 27263.0)	(29.0, 33791.0)	(30.0, 42400.0)	(31.0, 51418.0)	(32.0, 60644.0)	(33.0, 63607.0)	(34.0, 48988.0)	(35.0, 19192.0)	(36.0, 1729.0)	(37.0, 3.0)								
SRR33022251_1	(13.0, 1.0)	(14.0, 7.0)	(15.0, 41.0)	(16.0, 193.0)	(17.0, 496.0)	(18.0, 856.0)	(19.0, 1361.0)	(20.0, 1749.0)	(21.0, 2155.0)	(22.0, 2772.0)	(23.0, 3629.0)	(24.0, 4827.0)	(25.0, 6327.0)	(26.0, 8603.0)	(27.0, 10999.0)	(28.0, 14034.0)	(29.0, 18123.0)	(30.0, 22929.0)	(31.0, 29880.0)	(32.0, 39621.0)	(33.0, 54326.0)	(34.0, 80583.0)	(35.0, 133560.0)	(36.0, 211316.0)	(37.0, 72460.0)											
SRR33022251_2	(11.0, 23.0)	(12.0, 223.0)	(13.0, 1233.0)	(14.0, 1955.0)	(15.0, 1352.0)	(16.0, 1504.0)	(17.0, 2495.0)	(18.0, 3684.0)	(19.0, 5186.0)	(20.0, 7042.0)	(21.0, 9578.0)	(22.0, 12931.0)	(23.0, 16703.0)	(24.0, 21371.0)	(25.0, 26809.0)	(26.0, 33087.0)	(27.0, 39782.0)	(28.0, 48884.0)	(29.0, 58886.0)	(30.0, 70835.0)	(31.0, 82671.0)	(32.0, 92734.0)	(33.0, 92288.0)	(34.0, 65509.0)	(35.0, 22535.0)	(36.0, 1547.0)	(37.0, 1.0)									
SRR33022252_1	(13.0, 5.0)	(14.0, 28.0)	(15.0, 215.0)	(16.0, 653.0)	(17.0, 790.0)	(18.0, 1076.0)	(19.0, 1440.0)	(20.0, 1954.0)	(21.0, 2627.0)	(22.0, 3250.0)	(23.0, 4055.0)	(24.0, 5062.0)	(25.0, 6234.0)	(26.0, 7535.0)	(27.0, 9545.0)	(28.0, 11858.0)	(29.0, 14614.0)	(30.0, 17990.0)	(31.0, 22457.0)	(32.0, 29830.0)	(33.0, 39575.0)	(34.0, 57263.0)	(35.0, 92899.0)	(36.0, 162478.0)	(37.0, 85087.0)											
SRR33022252_2	(11.0, 16.0)	(12.0, 47.0)	(13.0, 209.0)	(14.0, 753.0)	(15.0, 835.0)	(16.0, 876.0)	(17.0, 1321.0)	(18.0, 2062.0)	(19.0, 2885.0)	(20.0, 4185.0)	(21.0, 6106.0)	(22.0, 8120.0)	(23.0, 10892.0)	(24.0, 14260.0)	(25.0, 18046.0)	(26.0, 22901.0)	(27.0, 28519.0)	(28.0, 36029.0)	(29.0, 44855.0)	(30.0, 54859.0)	(31.0, 67599.0)	(32.0, 79446.0)	(33.0, 83643.0)	(34.0, 64050.0)	(35.0, 24026.0)	(36.0, 1977.0)	(37.0, 3.0)									
SRR33022253_1	(13.0, 21.0)	(14.0, 88.0)	(15.0, 361.0)	(16.0, 894.0)	(17.0, 1352.0)	(18.0, 1808.0)	(19.0, 2343.0)	(20.0, 2854.0)	(21.0, 3260.0)	(22.0, 3936.0)	(23.0, 4874.0)	(24.0, 6181.0)	(25.0, 8032.0)	(26.0, 10205.0)	(27.0, 12781.0)	(28.0, 16331.0)	(29.0, 20498.0)	(30.0, 26159.0)	(31.0, 33177.0)	(32.0, 44018.0)	(33.0, 59966.0)	(34.0, 88634.0)	(35.0, 148071.0)	(36.0, 245287.0)	(37.0, 110216.0)											
SRR33022253_2	(11.0, 29.0)	(12.0, 324.0)	(13.0, 2170.0)	(14.0, 2685.0)	(15.0, 1557.0)	(16.0, 1353.0)	(17.0, 1644.0)	(18.0, 2444.0)	(19.0, 3322.0)	(20.0, 4990.0)	(21.0, 7072.0)	(22.0, 10000.0)	(23.0, 13362.0)	(24.0, 17743.0)	(25.0, 23082.0)	(26.0, 29303.0)	(27.0, 37223.0)	(28.0, 47714.0)	(29.0, 60876.0)	(30.0, 76731.0)	(31.0, 94986.0)	(32.0, 115888.0)	(33.0, 128718.0)	(34.0, 111163.0)	(35.0, 51181.0)	(36.0, 5762.0)	(37.0, 25.0)									
SRR33022254_1	(13.0, 1.0)	(14.0, 16.0)	(15.0, 130.0)	(16.0, 371.0)	(17.0, 519.0)	(18.0, 701.0)	(19.0, 1014.0)	(20.0, 1400.0)	(21.0, 1970.0)	(22.0, 2495.0)	(23.0, 3245.0)	(24.0, 4162.0)	(25.0, 5295.0)	(26.0, 6549.0)	(27.0, 8334.0)	(28.0, 10260.0)	(29.0, 12781.0)	(30.0, 15874.0)	(31.0, 20737.0)	(32.0, 26869.0)	(33.0, 36391.0)	(34.0, 53659.0)	(35.0, 89516.0)	(36.0, 154115.0)	(37.0, 75515.0)											
SRR33022254_2	(11.0, 22.0)	(12.0, 50.0)	(13.0, 190.0)	(14.0, 695.0)	(15.0, 799.0)	(16.0, 943.0)	(17.0, 1309.0)	(18.0, 2040.0)	(19.0, 2693.0)	(20.0, 3921.0)	(21.0, 5500.0)	(22.0, 7600.0)	(23.0, 10257.0)	(24.0, 12703.0)	(25.0, 16501.0)	(26.0, 20636.0)	(27.0, 25927.0)	(28.0, 32771.0)	(29.0, 41181.0)	(30.0, 51455.0)	(31.0, 62096.0)	(32.0, 73225.0)	(33.0, 76719.0)	(34.0, 58391.0)	(35.0, 22374.0)	(36.0, 1917.0)	(37.0, 4.0)									
