Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR33075562_1	2.8916313845599495	52.9608819025313
SRR33075562_2	0.0	0.0
SRR33075563_1	3.242632133405278	53.874457205991924
SRR33075563_2	0.0	0.0
SRR33075564_1	3.019283142830401	53.954448226348056
SRR33075564_2	0.19198677779527956	0.1406228955076007
SRR33075565_1	3.4960366141360764	50.54944795696895
SRR33075565_2	0.0	0.0
SRR33075566_1	2.788878200191234	54.26571069021535
SRR33075566_2	0.0	0.0
SRR33075567_1	12.03972640247971	62.638732710747455
SRR33075567_2	0.0	0.0
SRR33075568_1	16.832381469163387	62.076899532439064
SRR33075568_2	0.0	0.0
SRR33075569_1	8.211075692836358	66.44679346193722
SRR33075569_2	0.0	0.0
SRR33075570_1	7.733193353567111	65.53102497019376
SRR33075570_2	0.0	0.0
