Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR4588266_2	85.74941515044544	55.0	300.00782890682495	300	54.54545454545454	0.16713699999999998
ERR4588267_1	88.85715717220302	56.0	300.1752056000515	300	45.45454545454545	0.139713
ERR4588267_2	87.1822951335953	56.0	300.1752056000515	300	45.45454545454545	0.139713
ERR4588268_1	92.1575230425468	55.0	300.10312613030084	300	27.27272727272727	1.042311
ERR4588268_2	91.50944391836985	56.0	300.12786730639897	300	36.36363636363637	1.042311
ERR4588269_1	90.44986277395489	55.0	299.7632486111664	300	36.36363636363637	0.377115
ERR4588269_2	89.23325775956937	55.0	299.8047903159514	300	45.45454545454545	0.377115
ERR4588270_1	88.62168327158717	55.0	300.06374711000103	300	36.36363636363637	0.32309699999999997
ERR4588270_2	87.54708338362782	55.0	300.09945155789126	300	45.45454545454545	0.32309699999999997
ERR4588271_1	90.84827545821865	55.0	300.22249458335773	300	36.36363636363637	0.426925
ERR4588271_2	90.415881009545	55.0	300.25952684897817	300	45.45454545454545	0.426925
ERR4588272_1	90.29082210751605	55.0	299.905124008561	300	36.36363636363637	0.47658
ERR4588272_2	89.22090729783038	55.0	299.94333794955725	300	45.45454545454545	0.47658
ERR4588273_1	87.13792441971994	55.0	299.46057367892485	300	36.36363636363637	0.17724199999999998
ERR4588273_2	87.02564854831247	55.0	299.6324855282608	300	45.45454545454545	0.17724199999999998
ERR4588274_1	90.93018978961307	55.0	300.01494041488894	300	36.36363636363637	0.27188
ERR4588274_2	90.60283948800942	56.0	300.14348241871414	300	45.45454545454545	0.27188
ERR4588275_1	90.13930654084498	55.0	300.08076788888707	300	36.36363636363637	0.24076399999999998
ERR4588275_2	89.99185924806034	56.0	300.1823860710073	300	45.45454545454545	0.24076399999999998
ERR4588276_1	90.31043008707589	56.0	299.97575023360815	300	36.36363636363637	0.241858
ERR4588276_2	90.15868815586005	56.0	300.06562941891525	300	45.45454545454545	0.241858
ERR4588277_1	88.70780915515674	56.0	300.2043635084015	300	45.45454545454545	0.136404
ERR4588277_2	87.02530717574265	56.0	300.2043635084015	300	54.54545454545454	0.136404
ERR4588278_1	90.10075381503952	56.0	300.09343997058284	300	45.45454545454545	0.27194999999999997
ERR4588278_2	89.00202243059385	55.0	300.09343997058284	300	54.54545454545454	0.27194999999999997
ERR4588279_1	89.27572663000785	55.0	300.2359434406913	300	45.45454545454545	0.159125
ERR4588279_2	87.86802827965437	55.0	300.2359434406913	300	54.54545454545454	0.159125
ERR4588280_1	90.8811943676685	55.0	300.1088774008642	300	36.36363636363637	0.597337
ERR4588280_2	90.12852041644834	56.0	300.14323991314785	300	36.36363636363637	0.597337
ERR4588281_1	87.80143154717214	55.0	299.88482744812666	300	36.36363636363637	0.259719
ERR4588281_2	86.74798532259865	55.0	299.92313808385217	300	45.45454545454545	0.259719
ERR4588282_1	88.565679081143	55.0	299.94540416705365	300	36.36363636363637	0.16150499999999998
ERR4588282_2	87.30256029225102	56.0	299.9996811244234	300	45.45454545454545	0.16150499999999998
ERR4588283_1	89.82345751336183	56.0	299.964560596527	300	36.36363636363637	0.6913349999999999
ERR4588283_2	89.09342070052868	56.0	299.98330404217927	300	36.36363636363637	0.6913349999999999
ERR4588284_1	92.90831534328699	55.0	300.0287899450318	300	36.36363636363637	0.596163
ERR4588284_2	92.00738724140881	55.0	300.0903200970204	300	45.45454545454545	0.596163
ERR4588285_1	89.93932038834951	55.0	300.01297440423656	300	36.36363636363637	0.18128
ERR4588285_2	88.93590026478375	55.0	300.0789717563989	300	45.45454545454545	0.18128
ERR4588286_1	89.86005709113695	58.0	299.41265056046785	300	36.36363636363637	0.07181499999999999
ERR4588286_2	88.7739330223491	58.0	299.51936921256004	300	45.45454545454545	0.07181499999999999
ERR4588287_1	93.38192468340739	59.0	299.9411994741484	300	36.36363636363637	0.060093
ERR4588287_2	92.41009768192635	58.0	299.87969480638344	300	45.45454545454545	0.060093
